id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|स्वतंत्रता के बाद भारत के विदेशी व्यापार में क्या मुख्य परिवर्तन आया?|निर्यात में विनिर्मित वस्तुओं का हिस्सा बढ़ा|आयात में खाद्यान्न का हिस्सा बढ़ा|व्यापार केवल ब्रिटेन तक सीमित रहा|निर्यात में कृषि उत्पादों का हिस्सा बढ़ा|निर्यात में विनिर्मित वस्तुओं का हिस्सा बढ़ा|Geography_C21|30
2|भारत के आयात संघटन में पिछले कुछ वर्षों में किस वस्तु का हिस्सा सर्वाधिक रहा है?|पेट्रोलियम और अपरिष्कृत उत्पाद|पूँजीगत वस्तुएँ|खाद्य तेल|उर्वरक|पेट्रोलियम और अपरिष्कृत उत्पाद|Geography_C21|30
3|भारत के निर्यात संघटन में किस क्षेत्र का योगदान सबसे बड़ा है?|विनिर्माण क्षेत्र|कृषि और संबद्ध उत्पाद|खनिज एवं अयस्क|पेट्रोलियम उत्पाद|विनिर्माण क्षेत्र|Geography_C21|30
4|भारत का सबसे बड़ा व्यापारिक साझेदार कौन सा देश है?|संयुक्त राज्य अमेरिका|चीन|संयुक्त अरब अमीरात|सऊदी अरब|संयुक्त राज्य अमेरिका|Geography_C21|30
5|भारत के समुद्री व्यापार में पत्तनों की क्या भूमिका है?|ये अंतर्राष्ट्रीय व्यापार के प्रवेश द्वार के रूप में कार्य करते हैं|ये केवल पर्यटन को बढ़ावा देते हैं|ये केवल मछली पकड़ने के केंद्र हैं|इनकी कोई भूमिका नहीं है|ये अंतर्राष्ट्रीय व्यापार के प्रवेश द्वार के रूप में कार्य करते हैं|Geography_C21|30
6|निम्नलिखित में से कौन सा पश्चिमी तट का एक प्रमुख बंदरगाह है?|कांडला|हल्दिया|पारादीप|तूतीकोरिन|कांडला|Geography_C21|30
7|मुंबई बंदरगाह के दबाव को कम करने के लिए किस नए बंदरगाह का विकास किया गया है?|जवाहरलाल नेहरू पत्तन (न्हावा शेवा)|मार्मागाओ|न्यू मंगलौर|कोच्चि|जवाहरलाल नेहरू पत्तन (न्हावा शेवा)|Geography_C21|30
8|भारत के लौह-अयस्क के अधिकांश निर्यात को कौन सा बंदरगाह संभालता है?|मार्मागाओ|कांडला|कोलकाता|हल्दिया|मार्मागाओ|Geography_C21|30
9|भारत के पूर्वी तट पर स्थित सबसे गहरा स्थलबद्ध पत्तन कौन सा है?|विशाखापत्तनम|चेन्नई|पारादीप|कोलकाता|विशाखापत्तनम|Geography_C21|30
10|निम्नलिखित में से कौन सा एक नदीय पत्तन (Riverine Port) है?|कोलकाता|मुंबई|चेन्नई|कोच्चि|कोलकाता|Geography_C21|30
