id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'विद्रोही और राज' नामक अध्याय मुख्य रूप से किस विद्रोह से संबंधित है?|संथाल विद्रोह|दक्कन दंगे|1857 का विद्रोह|चुआड़ विद्रोह|1857 का विद्रोह|History_C11|30
2|1857 का विद्रोह कब शुरू हुआ?|10 मई 1857|29 मार्च 1857|1 जून 1857|23 जून 1857|10 मई 1857|History_C11|30
3|1857 के विद्रोह का तात्कालिक कारण क्या था?|ईसाई धर्म का प्रचार|ज़मींदारों का शोषण|डलहौजी की हड़प नीति|चर्बी वाले कारतूस|चर्बी वाले कारतूस|History_C11|30
4|1857 के विद्रोह का आरंभ कहाँ से हुआ?|दिल्ली|लखनऊ|मेरठ|कानपुर|मेरठ|History_C11|30
5|विद्रोह के समय भारत का गवर्नर-जनरल कौन था?|लॉर्ड डलहौजी|लॉर्ड कैनिंग|लॉर्ड वेलेजली|लॉर्ड बेंटिंक|लॉर्ड कैनिंग|History_C11|30
6|अवध (Oudh) को ब्रिटिश साम्राज्य में कब मिलाया गया?|1850 ई.|1856 ई.|1857 ई.|1858 ई.|1856 ई.|History_C11|30
7|अवध को ब्रिटिश साम्राज्य में किस आधार पर मिलाया गया था?|युद्ध|कुशासन का आरोप|हड़प नीति|व्यापार संधि|कुशासन का आरोप|History_C11|30
8|कानपुर में विद्रोह का नेतृत्व किसने किया था?|बेगम हज़रत महल|नाना साहेब|रानी लक्ष्मीबाई|कुँवर सिंह|नाना साहेब|History_C11|30
9|लखनऊ में 1857 के विद्रोह का नेतृत्व किसने किया था?|रानी लक्ष्मीबाई|तात्या टोपे|बेगम हज़रत महल|कुँवर सिंह|बेगम हज़रत महल|History_C11|30
10|झाँसी में विद्रोह का नेतृत्व किसने किया था?|बेगम हज़रत महल|रानी लक्ष्मीबाई|नाना साहेब|कुँवर सिंह|रानी लक्ष्मीबाई|History_C11|30
11|बिहार (आरा) में विद्रोह का नेतृत्व किसने किया था?|पीर अली|कुँवर सिंह|मंगल पांडे|वाजिद अली शाह|कुँवर सिंह|History_C11|30
12|दिल्ली में विद्रोहियों का सांकेतिक नेता कौन था?|बहादुर शाह ज़फ़र|तात्या टोपे|नाना साहेब|बेगम हज़रत महल|बहादुर शाह ज़फ़र|History_C11|30
13|1857 के विद्रोह के दौरान किसे 'जनरल' की उपाधि मिली थी, जो कानपुर में तैनात था?|नाना साहेब|तात्या टोपे|अजीमुल्ला खान|कुँवर सिंह|नाना साहेब|History_C11|30
14|मंगल पांडे किस सैन्य छावनी के सिपाही थे?|मेरठ|दिल्ली|बैरकपुर|लखनऊ|बैरकपुर|History_C11|30
15|मंगल पांडे को कब फाँसी दी गई थी?|29 मार्च 1857|8 अप्रैल 1857|10 मई 1857|1 जून 1857|8 अप्रैल 1857|History_C11|30
16|अवध का आखिरी नवाब कौन था?|नासिरुद्दीन हैदर|वाजिद अली शाह|शुजाउद्दौला|असफ़ुद्दौला|वाजिद अली शाह|History_C11|30
17|'डॉक्ट्रिन ऑफ लैप्स' (हड़प नीति) किसने लागू की थी?|लॉर्ड कॉर्नवॉलिस|लॉर्ड वेलेजली|लॉर्ड डलहौजी|लॉर्ड कैनिंग|लॉर्ड डलहौजी|History_C11|30
18|हड़प नीति के तहत सबसे पहले किस रियासत को ब्रिटिश साम्राज्य में मिलाया गया था?|झाँसी|सतारा|अवध|नागपुर|सतारा|History_C11|30
19|1857 के विद्रोह में एक महत्वपूर्ण भूमिका निभाने वाले 'तात्या टोपे' का असली नाम क्या था?|धोंदू पंत|रामचन्द्र पांडुरंग|अज़ीमुल्ला खान|फ़िरोज़ शाह|रामचन्द्र पांडुरंग|History_C11|30
20|अंग्रेजों ने 1857 के विद्रोह को कुचलने के बाद किसे रंगून (बर्मा) निर्वासित कर दिया?|नाना साहेब|बहादुर शाह ज़फ़र|बेगम हज़रत महल|कुँवर सिंह|बहादुर शाह ज़फ़र|History_C11|30
21|1857 के विद्रोह के बाद ब्रिटिश क्राउन ने ईस्ट इंडिया कंपनी से भारत का शासन कब अपने हाथ में ले लिया?|1857 ई.|1858 ई.|1861 ई.|1876 ई.|1858 ई.|History_C11|30
22|1857 के विद्रोह के बाद गवर्नर-जनरल का पद किस नाम से जाना जाने लगा?|प्रधान मंत्री|वायसराय|सेक्रेटरी ऑफ स्टेट|कमिश्नर|वायसराय|History_C11|30
23|ब्रिटिश अधिकारियों द्वारा 1857 के विद्रोह को किस रूप में देखा गया?|प्रथम स्वतंत्रता संग्राम|सिपाही विद्रोह|धर्मयुद्ध|एक संगठित क्रांति|सिपाही विद्रोह|History_C11|30
24|विद्रोहियों ने किस शहर पर कब्ज़ा करने के बाद बहादुर शाह ज़फ़र को अपना नेता घोषित किया?|लखनऊ|कानपुर|मेरठ|दिल्ली|दिल्ली|History_C11|30
25|ब्रिटिश सरकार ने विद्रोह को कुचलने के लिए किस देश से अतिरिक्त सेना मंगवाई?|कनाडा|ऑस्ट्रेलिया|इंग्लैंड और फ्रांस|इंग्लैंड|इंग्लैंड|History_C11|30
26|'द ग्रेट रिवोल्ट' (The Great Revolt) पुस्तक के लेखक कौन हैं?|विनायक दामोदर सावरकर|एस.एन. सेन|अशोक मेहता|आर.सी. मजूमदार|अशोक मेहता|History_C11|30
27|विद्रोहियों का मुख्य नारा क्या था?|स्वराज|अंग्रेजी हुकूमत का अंत|हिंदू-मुस्लिम एकता|हर-हर महादेव|अंग्रेजी हुकूमत का अंत|History_C11|30
