id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|हड़प्पा सभ्यता की खोज किस वर्ष हुई थी?|1921|1922|1925|1930|1921|History_C1|30
2|हड़प्पा सभ्यता का दूसरा प्रमुख स्थल कौन सा है, जिसकी खोज 1922 में हुई थी?|कालीबंगन|लोथल|मोहनजोदड़ो|धोलावीरा|मोहनजोदड़ो|History_C1|30
3|'ईंटें, मनके तथा अस्थियाँ' किस सभ्यता के अध्ययन पर केंद्रित है?|वैदिक सभ्यता|मौर्य सभ्यता|हड़प्पा सभ्यता|गुप्त सभ्यता|हड़प्पा सभ्यता|History_C1|30
4|हड़प्पा सभ्यता के किस स्थल से विशाल स्नानागार (Great Bath) के प्रमाण मिले हैं?|हड़प्पा|मोहनजोदड़ो|लोथल|रोपड़|मोहनजोदड़ो|History_C1|30
5|हड़प्पा का उत्खनन किसने करवाया था?|आर.डी. बनर्जी|दयाराम साहनी|जॉन मार्शल|एस.आर. राव|दयाराम साहनी|History_C1|30
6|मोहनजोदड़ो किस नदी के किनारे स्थित है?|रावी|सिंधु|सतलुज|चेनाब|सिंधु|History_C1|30
7|लोथल कहाँ स्थित है?|पंजाब|राजस्थान|गुजरात|हरियाणा|गुजरात|History_C1|30
8|कालीबंगन कहाँ स्थित है?|गुजरात|राजस्थान|हरियाणा|पंजाब|राजस्थान|History_C1|30
9|हड़प्पा सभ्यता की सबसे विशिष्ट पुरावस्तु क्या है?|मृदभांड|मोहर|औजार|आभूषण|मोहर|History_C1|30
10|हड़प्पा सभ्यता का कालक्रम क्या माना जाता है?|2600 ई.पू. से 1900 ई.पू.|3200 ई.पू. से 2600 ई.पू.|1500 ई.पू. से 600 ई.पू.|600 ई.पू. से 400 ई.पू.|2600 ई.पू. से 1900 ई.पू.|History_C1|30
11|हड़प्पा सभ्यता के निवासी किस धातु से अपरिचित थे?|तांबा|सोना|चाँदी|लोहा|लोहा|History_C1|30
12|हड़प्पा सभ्यता में मनके बनाने का प्रमुख केंद्र कौन सा था?|कालीबंगन|बनावली|चन्हुदड़ो|धोलावीरा|चन्हुदड़ो|History_C1|30
13|हड़प्पा सभ्यता में किस जानवर की पूजा की जाती थी?|घोड़ा|गाय|बैल (कूबड़ वाला)|ऊँट|बैल (कूबड़ वाला)|History_C1|30
14|हड़प्पा सभ्यता का वह कौन सा स्थल है जहाँ से बंदरगाह (Dockyard) के प्रमाण मिले हैं?|मोहनजोदड़ो|हड़प्पा|लोथल|रोपड़|लोथल|History_C1|30
15|हड़प्पा नगरों की सबसे महत्वपूर्ण विशेषता क्या थी?|विशाल महल|उत्कृष्ट मूर्तिकला|सुव्यवस्थित नगर-योजना|धार्मिक केंद्र|सुव्यवस्थित नगर-योजना|History_C1|30
16|हड़प्पा सभ्यता की लिपि कैसी थी?|चित्रात्मक (Pictographic)|वर्णमाला आधारित|संस्कृत|अरबी|चित्रात्मक (Pictographic)|History_C1|30
17|हड़प्पा सभ्यता की लिपि किस प्रकार लिखी जाती थी?|बाएँ से दाएँ|दाएँ से बाएँ|ऊपर से नीचे|दोनों ओर (दाएँ से बाएँ और फिर बाएँ से दाएँ)|दोनों ओर (दाएँ से बाएँ और फिर बाएँ से दाएँ)|History_C1|30
18|हड़प्पा सभ्यता के घरों की ईंटों का अनुपात क्या था?|1:2:3|4:2:1|1:1:2|2:1:1|4:2:1|History_C1|30
19|'पुरातत्व का जनक' किसे कहा जाता है?|दयाराम साहनी|जॉन मार्शल|अलेक्जेंडर कनिंघम|आर.डी. बनर्जी|अलेक्जेंडर कनिंघम|History_C1|30
20|'मोहनजोदड़ो' का शाब्दिक अर्थ क्या है?|जीवितों का टीला|महान नगर|मुर्दों का टीला|देवताओं का निवास|मुर्दों का टीला|History_C1|30
21|हड़प्पा सभ्यता के पतन का एक संभावित कारण क्या था?|अत्यधिक औद्योगीकरण|विदेशी व्यापार में वृद्धि|जलवायु परिवर्तन/बाढ़|मजबूत शासक का उदय|जलवायु परिवर्तन/बाढ़|History_C1|30
22|हड़प्पा सभ्यता में किस अनाज के दाने नहीं मिले हैं?|गेहूँ|जौ|चावल|मक्का|मक्का|History_C1|30
23|जॉन मार्शल ने किस वर्ष सिंधु घाटी सभ्यता को एक नवीन सभ्यता घोषित किया?|1921|1922|1924|1927|1924|History_C1|30
24|धोलावीरा किस राज्य में स्थित है?|पंजाब|गुजरात|राजस्थान|महाराष्ट्र|गुजरात|History_C1|30
25|हड़प्पा सभ्यता का विस्तार मुख्यतः किस क्षेत्र में था?|उत्तरी-पूर्वी भारत|दक्कन का पठार|पश्चिमी भारत और पाकिस्तान|दक्षिण भारत|पश्चिमी भारत और पाकिस्तान|History_C1|30
26|हड़प्पा सभ्यता में नहरों के अवशेष कहाँ से मिले हैं?|मोहनजोदड़ो|हड़प्पा|शोर्तुघई (अफगानिस्तान)|कालीबंगन|शोर्तुघई (अफगानिस्तान)|History_C1|30
27|सिंधु घाटी सभ्यता के शहरों में 'ऊँचा नगर' और 'निचला नगर' में कौन विभाजित था?|हड़प्पा और मोहनजोदड़ो|लोथल और कालीबंगन|चन्हुदड़ो और धोलावीरा|केवल धोलावीरा|हड़प्पा और मोहनजोदड़ो|History_C1|30
28|हड़प्पा की मोहरें किस पदार्थ से बनी होती थीं?|टेराकोटा|सेलखड़ी (Steatite)|काँसा|तांबा|सेलखड़ी (Steatite)|History_C1|30
29|कालीबंगन का शाब्दिक अर्थ क्या है?|काले रंग के मनके|काली मिट्टी|काले रंग की चूड़ियाँ|जला हुआ जंगल|काले रंग की चूड़ियाँ|History_C1|30
30|हड़प्पा सभ्यता का एकमात्र स्थल जो तीन भागों में विभाजित था?|लोथल|कालीबंगन|धोलावीरा|चन्हुदड़ो|धोलावीरा|History_C1|30
31|हड़प्पा संस्कृति में सबसे पहले किस स्थल की पहचान हुई थी?|मोहनजोदड़ो|हड़प्पा|लोथल|रोपड़|हड़प्पा|History_C1|30
32|भारतीय पुरातत्व सर्वेक्षण (ASI) के पहले महानिदेशक कौन थे?|दयाराम साहनी|जॉन मार्शल|अलेक्जेंडर कनिंघम|आर.डी. बनर्जी|अलेक्जेंडर कनिंघम|History_C1|30
