id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'राजा, किसान और नगर' किस काल से संबंधित है?|हड़प्पा काल|महाजनपद काल से गुप्त काल तक|वैदिक काल|मुगल काल|महाजनपद काल से गुप्त काल तक|History_C2|30
2|छठी शताब्दी ई.पू. में कितने महाजनपद थे?|10|12|16|20|16|History_C2|30
3|मगध महाजनपद का पहला शासक कौन था?|अजातशत्रु|बिम्बिसार|महापद्मनंद|चन्द्रगुप्त मौर्य|बिम्बिसार|History_C2|30
4|सबसे शक्तिशाली महाजनपद कौन सा था?|कोशल|अंग|मगध|वत्स|मगध|History_C2|30
5|पाली भाषा में 'गहपति' शब्द का प्रयोग किसके लिए किया जाता था?|राजा|सेनापति|छोटे किसान और गृहपति|व्यापारी|छोटे किसान और गृहपति|History_C2|30
6|प्रारंभिक भारतीय इतिहास में 'द्वितीय नगरीकरण' किसे कहा जाता है?|हड़प्पा सभ्यता|महाजनपद काल के शहर|गुप्त काल के शहर|मुगल काल के शहर|महाजनपद काल के शहर|History_C2|30
7|अशोक ने किस बौद्ध भिक्षु के प्रभाव में आकर बौद्ध धर्म अपनाया?|आनंद|उपगुप्त|महाकाश्यप|वसुमित्र|उपगुप्त|History_C2|30
8|किस शासक को 'देवनामपिय' और 'पियदस्सी' के नाम से भी जाना जाता था?|चन्द्रगुप्त मौर्य|अशोक|समुद्रगुप्त|कनिष्क|अशोक|History_C2|30
9|मौर्य साम्राज्य का संस्थापक कौन था?|बिन्दुसार|अशोक|चन्द्रगुप्त मौर्य|समुद्रगुप्त|चन्द्रगुप्त मौर्य|History_C2|30
10|मौर्य साम्राज्य की राजधानी कहाँ थी?|तक्षशिला|उज्जैन|पाटलिपुत्र|कन्नौज|पाटलिपुत्र|History_C2|30
11|अर्थशास्त्र (Arthashastra) के रचयिता कौन थे?|मेगस्थनीज|चाणक्य/कौटिल्य|कालिदास|बाणभट्ट|चाणक्य/कौटिल्य|History_C2|30
12|इंडिका (Indika) नामक पुस्तक किसने लिखी?|फाह्यान|ह्वेन त्सांग|मेगस्थनीज|टॉलेमी|मेगस्थनीज|History_C2|30
13|मेगस्थनीज किसके दरबार में यूनानी राजदूत था?|अशोक|चन्द्रगुप्त मौर्य|बिम्बिसार|समुद्रगुप्त|चन्द्रगुप्त मौर्य|History_C2|30
14|अशोक के अभिलेखों को सबसे पहले किसने पढ़ा?|जेम्स प्रिंसेप|जॉन मार्शल|कनिंघम|दयाराम साहनी|जेम्स प्रिंसेप|History_C2|30
15|जेम्स प्रिंसेप ने अशोक के अभिलेखों को कब पढ़ा?|1810 ई.|1837 ई.|1857 ई.|1921 ई.|1837 ई.|History_C2|30
16|अशोक के अधिकांश अभिलेख किस भाषा और लिपि में हैं?|संस्कृत और देवनागरी|प्राकृत और ब्राह्मी|पाली और खरोष्ठी|तमिल और ब्राह्मी|प्राकृत और ब्राह्मी|History_C2|30
17|मौर्य काल में कलिंग पर विजय प्राप्त करने वाला शासक कौन था?|चन्द्रगुप्त मौर्य|बिन्दुसार|अशोक|समुद्रगुप्त|अशोक|History_C2|30
18|मौर्य प्रशासन में 'समहर्ता' का कार्य क्या था?|न्याय करना|राजस्व संग्रह|सेना का नेतृत्व|धार्मिक मामलों की देखरेख|राजस्व संग्रह|History_C2|30
19|मौर्य साम्राज्य के पतन का एक कारण क्या था?|शक्तिशाली उत्तराधिकारियों का उदय|अशोक की शांतिवादी नीति|विदेशी व्यापार में वृद्धि|मगध का विभाजन|अशोक की शांतिवादी नीति|History_C2|30
20|'इलाहाबाद स्तंभ अभिलेख' (प्रयाग प्रशस्ति) की रचना किसने की?|हरिषेण|रवि कीर्ति|अश्वघोष|कालिदास|हरिषेण|History_C2|30
21|प्रयाग प्रशस्ति किस गुप्त शासक की उपलब्धियों का वर्णन करती है?|चन्द्रगुप्त प्रथम|चन्द्रगुप्त द्वितीय|समुद्रगुप्त|कुमारगुप्त|समुद्रगुप्त|History_C2|30
22|किस गुप्त शासक को 'भारत का नेपोलियन' कहा जाता है?|चन्द्रगुप्त मौर्य|समुद्रगुप्त|चन्द्रगुप्त द्वितीय|स्कंदगुप्त|समुद्रगुप्त|History_C2|30
23|गुप्त काल का अंतिम महान शासक कौन था?|समुद्रगुप्त|चन्द्रगुप्त द्वितीय|कुमारगुप्त|स्कंदगुप्त|स्कंदगुप्त|History_C2|30
24|'सुदर्शन झील' का जीर्णोद्धार किस शक शासक ने करवाया था?|रुद्रदामन|नहपान|गोंडोफर्नीस|कनिष्क|रुद्रदामन|History_C2|30
25|शुंग वंश का संस्थापक कौन था?|पुष्यमित्र शुंग|वासुदेव|सीमुख|कनिष्क|पुष्यमित्र शुंग|History_C2|30
26|'चरक संहिता' की रचना किसने की?|आर्यभट्ट|वररुचि|चरक|वाग्भट्ट|चरक|History_C2|30
27|सातवाहन वंश के सबसे प्रतापी राजा कौन थे?|सिमुख|गौतमीपुत्र सातकर्णि|यज्ञश्री सातकर्णि|हाल|गौतमीपुत्र सातकर्णि|History_C2|30
28|'हर्षचरित' (Harshacharita) के रचयिता कौन थे, जो हर्षवर्धन के दरबारी कवि थे?|कालिदास|बाणभट्ट|भवभूति|दंडी|बाणभट्ट|History_C2|30
29|'मुद्राराक्षस' नाटक का रचयिता कौन था, जिसमें मौर्यों के उत्थान का वर्णन है?|विशाखदत्त|शुद्रक|भास|अश्वघोष|विशाखदत्त|History_C2|30
30|तमिल क्षेत्रों में सबसे बड़े जमींदारों को क्या कहा जाता था?|उझवार|वेल्लार|अदिमई|गहपति|वेल्लार|History_C2|30
31|हर्षवर्धन के शासनकाल में कौन सा चीनी यात्री भारत आया था?|फाह्यान|इत्सिंग|ह्वेन त्सांग|मेगस्थनीज|ह्वेन त्सांग|History_C2|30
32|कौटिल्य (चाणक्य) का अन्य नाम क्या था?|विष्णुगुप्त|देवगुप्त|भास|पतंजलि|विष्णुगुप्त|History_C2|30
33|जैन धर्म के पहले तीर्थंकर कौन थे?|पार्श्वनाथ|महावीर|ऋषभदेव|अजीतनाथ|ऋषभदेव|History_C2|30
34|अशोक ने 'धम्म' के प्रचार के लिए किन अधिकारियों को नियुक्त किया?|महामात्र|धम्म महामात्र|प्रतिवेदक|युक्त|धम्म महामात्र|History_C2|30
35|मौर्य काल में प्रचलित मुद्रा का नाम क्या था?|पण|दिनार|टकसाल|रूपक|पण|History_C2|30
36|शक संवत (Saka Era) की शुरुआत किस शासक ने की थी?|चन्द्रगुप्त मौर्य|अशोक|कनिष्क|विक्रमादित्य|कनिष्क|History_C2|30
37|किस अभिलेख से ज्ञात होता है कि 'स्कंदगुप्त' ने हूणों को पराजित किया था?|जूनागढ़ अभिलेख|भीतरी स्तंभ अभिलेख|इलाहाबाद स्तंभ अभिलेख|मंदसौर अभिलेख|भीतरी स्तंभ अभिलेख|History_C2|30
38|मौर्य प्रशासन में 'राजुक' कौन थे?|गुप्तचर|प्रांतीय प्रशासक|न्यायिक और राजस्व अधिकारी|सेना प्रमुख|न्यायिक और राजस्व अधिकारी|History_C2|30
39|गुप्त काल में 'स्वर्ण सिक्कों' को किस नाम से जाना जाता था?|पण|कार्षापण|दिनार|रूपक|दिनार|History_C2|30
40|दक्षिण भारत में आरंभिक राज्यों में 'चेर' की राजधानी कहाँ थी?|मदुरै|उरैयूर|करूर|वंजि/करूर|वंजि/करूर|History_C2|30
41|मेगस्थनीज के अनुसार मौर्यकालीन नगर प्रशासन को चलाने के लिए कितनी समितियों का गठन किया गया था?|4|5|6|8|6|History_C2|30
42|सिकंदर का भारत पर आक्रमण कब हुआ?|327-326 ई.पू.|261 ई.पू.|305 ई.पू.|185 ई.पू.|327-326 ई.पू.|History_C2|30
43|मगध के उत्थान में किस नदी का महत्वपूर्ण योगदान था?|गंगा|यमुना|गोदावरी|कावेरी|गंगा|History_C2|30
44|गुप्त काल में किस शासक ने 'विक्रमादित्य' की उपाधि धारण की?|समुद्रगुप्त|चन्द्रगुप्त प्रथम|चन्द्रगुप्त द्वितीय|स्कंदगुप्त|चन्द्रगुप्त द्वितीय|History_C2|30
45|सबसे पुराना महाजनपद कौन सा था?|काशी|मगध|कोशल|अंग|काशी|History_C2|30
46|आरंभिक भारतीय इतिहास में 'भूमिदान' के साक्ष्य मुख्य रूप से कहाँ से मिलते हैं?|शिलालेखों से|ताम्रपत्रों से|गुफा चित्रों से|मुद्राओं से|ताम्रपत्रों से|History_C2|30
47|किस चीनी यात्री ने नालंदा विश्वविद्यालय में अध्ययन किया?|फाह्यान|ह्वेन त्सांग|इत्सिंग|सुंग यून|ह्वेन त्सांग|History_C2|30
48|चोल, चेर और पांड्य जैसे राज्य कहाँ विकसित हुए?|उत्तर भारत|उत्तर-पश्चिम|दक्कन|तमिलकम क्षेत्र|तमिलकम क्षेत्र|History_C2|30
49|'पेरिप्लस ऑफ द एरिथ्रियन सी' (Periplus of the Erythraean Sea) नामक ग्रंथ किस विषय से संबंधित है?|राजनीति|भूगोल और व्यापार|धर्म|दर्शनशास्त्र|भूगोल और व्यापार|History_C2|30
