id|question|opt1|opt2|opt1|answer|tags|time_limit_seconds
1|'एक साम्राज्य की राजधानी: विजयनगर' नामक अध्याय किस काल से संबंधित है?|10वीं-12वीं शताब्दी|14वीं-16वीं शताब्दी|17वीं-18वीं शताब्दी|8वीं-10वीं शताब्दी|14वीं-16वीं शताब्दी|History_C7|30
2|विजयनगर साम्राज्य की स्थापना कब हुई थी?|1336 ई.|1347 ई.|1420 ई.|1565 ई.|1336 ई.|History_C7|30
3|विजयनगर साम्राज्य की स्थापना किसने की थी?|कृष्णदेव राय|देव राय प्रथम|हरिहर और बुक्का|सालुव नरसिंह|हरिहर और बुक्का|History_C7|30
4|विजयनगर साम्राज्य किस नदी के किनारे स्थित था?|कृष्णा|कावेरी|तुंगभद्रा|गोदावरी|तुंगभद्रा|History_C7|30
5|विजयनगर की पहचान का पहला महत्वपूर्ण विवरण किसने दिया था?|कर्नल कॉलिन मैकेंज़ी|जेम्स प्रिंसेप|जॉन मार्शल|फ्रांस्वा बर्नियर|कर्नल कॉलिन मैकेंज़ी|History_C7|30
6|कर्नल कॉलिन मैकेंज़ी ने विजयनगर का दौरा कब किया था?|1700 ई.|1800 ई.|1820 ई.|1857 ई.|1800 ई.|History_C7|30
7|विजयनगर के शासकों को किस नाम से जाना जाता था?|राय|सुल्तान|चक्रवर्ती|महाराजा|राय|History_C7|30
8|विजयनगर साम्राज्य का सबसे महान शासक कौन था?|हरिहर प्रथम|बुक्का प्रथम|कृष्णदेव राय|देव राय द्वितीय|कृष्णदेव राय|History_C7|30
9|कृष्णदेव राय किस राजवंश से संबंधित थे?|संगम वंश|सालुव वंश|तुलुव वंश|अराविडु वंश|तुलुव वंश|History_C7|30
10|कृष्णदेव राय ने अपनी माता के नाम पर किस उपनगर की स्थापना की थी?|विजयनगर|हमपी|नगलापुरम|श्रीरंगपट्टनम|नगलापुरम|History_C7|30
11|विजयनगर साम्राज्य का प्रसिद्ध युद्ध 'तालीकोटा/राक्षसी-तंगड़ी' कब हुआ था?|1540 ई.|1565 ई.|1575 ई.|1600 ई.|1565 ई.|History_C7|30
12|तालीकोटा के युद्ध में विजयनगर का मुकाबला किन सल्तनतों से हुआ था?|केवल बीजापुर|बीजापुर, गोलकुंडा और अहमदनगर|मदुरै और तंजावुर|केवल बहमनी साम्राज्य|बीजापुर, गोलकुंडा और अहमदनगर|History_C7|30
13|विजयनगर की सबसे प्रमुख जल-संरचना कौन सी थी?|आकाशगंगा नहर|हम्पी नहर|कमलापुरम जलाशय|हीरिया नहर|हीरिया नहर|History_C7|30
14|विजयनगर साम्राज्य में 'अमर-नायक' (Amar-Nayaka) प्रणाली किससे संबंधित थी?|धार्मिक दान|सैनिक कमांडर और प्रशासनिक इकाई|व्यापारिक संघ|कला और साहित्य|सैनिक कमांडर और प्रशासनिक इकाई|History_C7|30
15|अमर-नायक प्रणाली किस साम्राज्य की इक्ता प्रणाली से मिलती-जुलती थी?|चोल|चालुक्य|दिल्ली सल्तनत|मुगल|दिल्ली सल्तनत|History_C7|30
16|विजयनगर के राजकीय केंद्र में सबसे भव्य संरचना कौन सी थी?|लोटस महल|हज़ारा राम मंदिर|महानवमी डिब्बा|विट्ठल मंदिर|महानवमी डिब्बा|History_C7|30
17|महानवमी डिब्बा का उपयोग किस त्योहार के दौरान किया जाता था?|दशहरा (महानवमी)|दीपावली|होली|पोंगल|दशहरा (महानवमी)|History_C7|30
18|विजयनगर के मंदिरों की मुख्य विशेषता क्या थी?|छोटे और साधारण मंदिर|गोपुरम और मंडप|गुंबद और मेहराब|केवल लकड़ी की संरचनाएँ|गोपुरम और मंडप|History_C7|30
19|विजयनगर में घोड़ों के व्यापारियों को क्या कहा जाता था?|अमर नायक|कुदिरई चेट्टी|उरैयूर|मंडपम्|कुदिरई चेट्टी|History_C7|30
20|हम्पी को यूनेस्को (UNESCO) द्वारा विश्व विरासत स्थल कब घोषित किया गया?|1956|1986|1996|2006|1986|History_C7|30
21|विजयनगर के धार्मिक केंद्र में मुख्य रूप से कौन से मंदिर स्थित थे?|विरूपाक्ष मंदिर और विट्ठल मंदिर|मीनाक्षी मंदिर और पद्मनाभस्वामी मंदिर|वेंकटेश्वर मंदिर और जगन्नाथ मंदिर|सोमनाथ मंदिर और काशी विश्वनाथ मंदिर|विरूपाक्ष मंदिर और विट्ठल मंदिर|History_C7|30
22|विजयनगर में 'विट्ठल' किस देवता का रूप थे?|शिव|विष्णु|ब्रह्मा|गणेश|विष्णु|History_C7|30
23|विरूपाक्ष किस देवता का रूप थे?|विष्णु|शिव|गणेश|सूर्य|शिव|History_C7|30
24|विट्ठल मंदिर की सबसे अनूठी विशेषता क्या थी?|विशाल गोपुरम|संगीत स्तंभों वाला मंडप|पवित्र सरोवर|भूमिगत मंदिर|संगीत स्तंभों वाला मंडप|History_C7|30
