id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|आपातकाल का क्या अर्थ है?|एक सामान्य दिन|एक नियोजित घटना|एक अप्रत्याशित और खतरनाक स्थिति|एक उत्सव|एक अप्रत्याशित और खतरनाक स्थिति|Home Science_C22|30
2|प्राकृतिक आपदा का उदाहरण क्या है?|आग लगना|सड़क दुर्घटना|भूकंप|बम विस्फोट|भूकंप|Home Science_C22|30
3|प्राथमिक चिकित्सा (First Aid) का मुख्य उद्देश्य क्या है?|डॉक्टर की जगह लेना|घायल व्यक्ति को तत्काल और अस्थायी सहायता देना|बीमारी का इलाज करना|दवाई बेचना|घायल व्यक्ति को तत्काल और अस्थायी सहायता देना|Home Science_C22|30
4|घर में एक आपातकालीन किट (Emergency Kit) क्यों रखनी चाहिए?|घर को सजाने के लिए|आपात स्थिति में तत्काल जरूरतों को पूरा करने के लिए|मेहमानों को दिखाने के लिए|उसे बेचने के लिए|आपात स्थिति में तत्काल जरूरतों को पूरा करने के लिए|Home Science_C22|30
5|आग लगने पर सबसे पहले क्या करना चाहिए?|वीडियो बनाना|चिल्लाना और भागना|शांत रहना और निकटतम आपातकालीन निकास से बाहर निकलना|सामान इकट्ठा करना|शांत रहना और निकटतम आपातकालीन निकास से बाहर निकलना|Home Science_C22|30
6|बिजली से आग लगने पर पानी क्यों नहीं डालना चाहिए?|पानी महंगा है|आग फैल जाती है|बिजली का झटका लग सकता है|पानी गंदा होता है|बिजली का झटका लग सकता है|Home Science_C22|30
7|मामूली जलने पर सबसे पहले क्या करना चाहिए?|जले हुए स्थान पर बर्फ लगाना|जले हुए स्थान पर मक्खन लगाना|जले हुए स्थान को बहते ठंडे पानी के नीचे रखना|जले हुए स्थान पर कपड़ा बांधना|जले हुए स्थान को बहते ठंडे पानी के नीचे रखना|Home Science_C22|30
8|हड्डी टूटने (Fracture) का मुख्य लक्षण क्या है?|खुजली होना|असहनीय दर्द और सूजन|बुखार आना|प्यास लगना|असहनीय दर्द और सूजन|Home Science_C22|30
9|भूकंप आने पर सबसे सुरक्षित स्थान कौन सा है?|लिफ्ट के अंदर|पेड़ के नीचे|मजबूत मेज के नीचे या किसी कोने में|खिड़की के पास|मजबूत मेज के नीचे या किसी कोने में|Home Science_C22|30
10|रक्तस्राव (Bleeding) को रोकने के लिए क्या करना चाहिए?|घाव को खुला छोड़ दें|घाव पर साफ कपड़ा रखकर दबाव डालें|घाव पर मिट्टी लगाएं|घाव को गर्म पानी से धोएं|घाव पर साफ कपड़ा रखकर दबाव डालें|Home Science_C22|30
11|प्राथमिक चिकित्सा बॉक्स में क्या होना चाहिए?|चॉकलेट|रुई, पट्टी, एंटीसेप्टिक, कैंची|किताबें|खिलौने|रुई, पट्टी, एंटीसेप्टिक, कैंची|Home Science_C22|30
12|बेहोश व्यक्ति के लिए सबसे पहले क्या जांचना चाहिए?|उसका बटुआ|उसका मोबाइल फोन|उसकी सांस और नाड़ी|उसका नाम|उसकी सांस और नाड़ी|Home Science_C22|30
13|सांप के काटने पर घाव के पास कसकर पट्टी क्यों नहीं बांधनी चाहिए?|यह एक पुराना रिवाज है|इससे रक्त संचार रुक सकता है और ऊतक नष्ट हो सकते हैं|इससे जहर फैल जाता है|इससे दर्द बढ़ता है|इससे रक्त संचार रुक सकता है और ऊतक नष्ट हो सकते हैं|Home Science_C22|30
14|बाढ़ के दौरान क्या करना सुरक्षित है?|पानी में तैरना|बिजली के स्विच चालू करना|ऊंचे और सुरक्षित स्थान पर जाना|बाढ़ का पानी पीना|ऊंचे और सुरक्षित स्थान पर जाना|Home Science_C22|30
15|CPR का पूरा नाम क्या है?|कार्डियोपल्मोनरी रिससिटेशन|क्रिटिकल पल्मोनरी रिस्पांस|कार्डियक पल्मोनरी रेट|क्रॉस पल्मोनरी रिएक्शन|कार्डियोपल्मोनरी रिससिटेशन|Home Science_C22|30
16|नाक से खून बहने पर सिर को किधर झुकाना चाहिए?|पीछे की ओर|आगे की ओर|दाहिनी ओर|बाईं ओर|आगे की ओर|Home Science_C22|30
17|आग बुझाने वाले यंत्र का उपयोग कब करना चाहिए?|आग फैल जाने पर|केवल छोटी आग लगने पर|केवल बिजली की आग पर|कभी नहीं|केवल छोटी आग लगने पर|Home Science_C22|30
18|मानव निर्मित आपदा का उदाहरण है:|सुनामी|ज्वालामुखी|आतंकवादी हमला|चक्रवात|आतंकवादी हमला|Home Science_C22|30
19|किसी दुर्घटना के बाद 'गोल्डन आवर' का क्या महत्व है?|यह आराम का समय है|यह वह पहला घंटा है जिसमें तत्काल चिकित्सा से जान बच सकती है|यह पैसे बांटने का समय है|यह जांच का समय है|यह वह पहला घंटा है जिसमें तत्काल चिकित्सा से जान बच सकती है|Home Science_C22|30
20|लू लगने (Heat Stroke) पर व्यक्ति को कहाँ ले जाना चाहिए?|धूप में|गर्म कमरे में|ठंडी और छायादार जगह पर|भीड़ में|ठंडी और छायादार जगह पर|Home Science_C22|30
21|एक प्राथमिक उपचारकर्ता का गुण होना चाहिए:|घबराने वाला|शांत और समझदार|लापरवाह|अज्ञानी|शांत और समझदार|Home Science_C22|30
22|खरोंच आने पर घाव को सबसे पहले किससे साफ करना चाहिए?|मिट्टी से|गर्म पानी से|साबुन और साफ पानी से|कपड़े से पोंछना चाहिए|साबुन और साफ पानी से|Home Science_C22|30
23|आपदा प्रबंधन योजना क्यों आवश्यक है?|नुकसान को कम करने के लिए|समस्या बढ़ाने के लिए|यह एक सरकारी नियम है|मनोरंजन के लिए|नुकसान को कम करने के लिए|Home Science_C22|30
24|अगर किसी के गले में कुछ फंस जाए तो क्या करना चाहिए?|उसे पानी पिलाना चाहिए|उसकी पीठ पर थपथपाना चाहिए|उसे अकेला छोड़ देना चाहिए|उसे लेटने के लिए कहना चाहिए|उसकी पीठ पर थपथपाना चाहिए|Home Science_C22|30
25|आपातकालीन स्थिति में संपर्क करने के लिए कौन सा नंबर याद रखना चाहिए?|फिल्म का टिकट नंबर|पुलिस, एम्बुलेंस, फायर ब्रिगेड के नंबर|दोस्तों के नंबर|पड़ोसियों के नंबर|पुलिस, एम्बुलेंस, फायर ब्रिगेड के नंबर|Home Science_C22|30
26|घायल व्यक्ति को स्थानांतरित करने से पहले क्या सुनिश्चित करना चाहिए?|उसके पास पैसे हैं|उसे और चोट न लगे|वह होश में है|उसने खाना खाया है|उसे और चोट न लगे|Home Science_C22|30
