```python?code_reference&code_event_index=5
import pandas as pd
import io

# Data for 50 questions on Home Science Chapter 5: Adolescence (किशोरावस्था)
quiz_data = [
    {
        "id": 1,
        "question": "किशोरावस्था की उम्र सीमा सामान्यतः क्या मानी जाती है?",
        "opt1": "5 से 10 वर्ष",
        "opt2": "12 से 18 वर्ष",
        "opt3": "18 से 25 वर्ष",
        "opt4": "0 से 5 वर्ष",
        "answer": "12 से 18 वर्ष",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 2,
        "question": "किशोरावस्था को 'तूफ़ान और तनाव' की अवस्था किसने कहा है?",
        "opt1": "जीन पियाजे",
        "opt2": "स्टेनली हॉल",
        "opt3": "सिगमंड फ्रायड",
        "opt4": "एरिक एरिक्सन",
        "answer": "स्टेनली हॉल",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 3,
        "question": "यौन परिपक्वता (Puberty) की शुरुआत किस अवस्था में होती है?",
        "opt1": "शैशवावस्था",
        "opt2": "बाल्यावस्था",
        "opt3": "किशोरावस्था",
        "opt4": "प्रौढ़ावस्था",
        "answer": "किशोरावस्था",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 4,
        "question": "किशोरावस्था के दौरान लड़कियों में होने वाला पहला मासिक धर्म क्या कहलाता है?",
        "opt1": "रजोनिवृत्ति (Menopause)",
        "opt2": "गर्भधारण",
        "opt3": "रजोधर्म (Menarche)",
        "opt4": "मासिक चक्र",
        "answer": "रजोधर्म (Menarche)",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 5,
        "question": "किशोरों के आहार में किस पोषक तत्व की आवश्यकता सबसे अधिक होती है?",
        "opt1": "विटामिन ए",
        "opt2": "आयरन और कैल्शियम",
        "opt3": "विटामिन डी",
        "opt4": "कार्बोहाइड्रेट",
        "answer": "आयरन और कैल्शियम",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 6,
        "question": "एरिक एरिक्सन के अनुसार किशोरावस्था का मुख्य विकासात्मक कार्य क्या है?",
        "opt1": "विश्वास बनाम अविश्वास",
        "opt2": "पहल बनाम अपराधबोध",
        "opt3": "पहचान बनाम भूमिका भ्रम",
        "opt4": "उत्पादकता बनाम ठहराव",
        "answer": "पहचान बनाम भूमिका भ्रम",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 7,
        "question": "तार्किक और अमूर्त रूप से सोचने की क्षमता किस अवस्था में विकसित होती है?",
        "opt1": "संवेदी प्रेरक अवस्था",
        "opt2": "पूर्व-संक्रियात्मक अवस्था",
        "opt3": "मूर्त संक्रियात्मक अवस्था",
        "opt4": "औपचारिक संक्रियात्मक अवस्था",
        "answer": "औपचारिक संक्रियात्मक अवस्था",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 8,
        "question": "किस समस्या के कारण किशोरों को अपने शरीर की छवि (body image) के बारे में चिंता होती है?",
        "opt1": "तनाव (Stress)",
        "opt2": "खाने के विकार (Eating Disorders)",
        "opt3": "स्कूल छोड़ने की दर",
        "opt4": "व्यवहारिक समस्याएं",
        "answer": "खाने के विकार (Eating Disorders)",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 9,
        "question": "किशोरावस्था में संवेगात्मक विकास की मुख्य विशेषता क्या है?",
        "opt1": "संवेगों में स्थिरता",
        "opt2": "संवेगों में तीव्रता और अस्थिरता",
        "opt3": "संवेगों का अभाव",
        "opt4": "केवल खुशी का अनुभव",
        "answer": "संवेगों में तीव्रता और अस्थिरता",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 10,
        "question": "किशोरावस्था में सामाजिक विकास में सबसे महत्वपूर्ण समूह कौन सा होता है?",
        "opt1": "परिवार",
        "opt2": "शिक्षक",
        "opt3": "समूह (Peer Group)",
        "opt4": "रिश्तेदार",
        "answer": "समूह (Peer Group)",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 11,
        "question": "किशोरों में एनीमिया (रक्त की कमी) का मुख्य कारण क्या है?",
        "opt1": "विटामिन डी की कमी",
        "opt2": "आयरन (लोहे) की कमी",
        "opt3": "कैल्शियम की कमी",
        "opt4": "अत्यधिक प्रोटीन",
        "answer": "आयरन (लोहे) की कमी",
        "tags": "HomeScience_C5",
        "time_limit_seconds": 30,
    },
    {
        "id": 12,
