id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|افسانہ 'عندلیب' کی مصنفہ کون ہیں؟|جیلانی بانو|عصمت چغتائی|قرۃ العین حیدر|واجدہ تبسم|جیلانی بانو|Urdu_C7|30
2|جیلانی بانو کی پیدائش کہاں ہوئی تھی؟|بدایوں|لکھنؤ|حیدرآباد|دہلی|بدایوں|Urdu_C7|30
3|'عندلیب' کا کیا مطلب ہے؟|کوئل|بلبل|مینا|طوطا|بلبل|Urdu_C7|30
4|افسانے کا مرکزی کردار کون ہے؟|عندلیب|شمیم|نسرین|فریدہ|عندلیب|Urdu_C7|30
5|عندلیب کی شادی کس سے ہوتی ہے؟|اکبر|اسلم|جاوید|سلیم|جاوید|Urdu_C7|30
6|عندلیب کا تعلق کس طبقے سے تھا؟|اعلیٰ طبقہ|متوسط طبقہ|غریب طبقہ|شاہی خاندان|متوسط طبقہ|Urdu_C7|30
7|جاوید کا پیشہ کیا تھا؟|ڈاکٹر|انجینئر|پروفیسر|وکیل|پروفیسر|Urdu_C7|30
8|عندلیب کو کس چیز کا شوق تھا؟|گانے کا|پڑھنے کا|لکھنے کا|پینٹنگ کا|گانے کا|Urdu_C7|30
9|افسانے میں کس شہر کا ذکر ہے؟|لاہور|کراچی|دہلی|حیدرآباد|حیدرآباد|Urdu_C7|30
10|عندلیب کی ساس کا اس کے ساتھ کیسا رویہ تھا؟|بہت اچھا|بہت برا|لاپرواہی کا|منافقانہ|بہت برا|Urdu_C7|30
11|جاوید عندلیب کے گانے کے بارے میں کیا سوچتا تھا؟|اسے پسند کرتا تھا|اسے ناپسند کرتا تھا|اسے کوئی پرواہ نہیں تھی|وہ اسے حوصلہ دیتا تھا|اسے ناپسند کرتا تھا|Urdu_C7|30
12|افسانے کا موضوع کیا ہے؟|عورت کی آزادی|طبقاتی کشمکش|محبت اور شادی|گھریلو تشدد|عورت کی آزادی|Urdu_C7|30
13|عندلیب نے آخر میں کیا فیصلہ کیا؟|گھر چھوڑ دیا|خودکشی کر لی|اپنے شوق کو دبا دیا|اپنے حق کے لیے لڑی|اپنے حق کے لیے لڑی|Urdu_C7|30
14|'عندلیب' کس افسانوی مجموعے میں شامل ہے؟|روشنی کے مینار|پارہ|نروان|کون|روشنی کے مینار|Urdu_C7|30
15|جیلانی بانو کو کونسا ایوارڈ ملا؟|پدم شری|گیان پیٹھ|ساہتیہ اکادمی|غالب ایوارڈ|پدم شری|Urdu_C7|30
16|عندلیب کے والد کیا کام کرتے تھے؟|استاد|زمیندار|ڈاکٹر|سرکاری ملازم|سرکاری ملازم|Urdu_C7|30
17|کہانی کا آغاز کس موقع سے ہوتا ہے؟|شادی کی تقریب سے|ایک موسیقی کی محفل سے|عندلیب کی سالگرہ سے|ایک عام دن سے|ایک موسیقی کی محفل سے|Urdu_C7|30
